A00001,1,300,9000,2014-05-08,05:05:15,A00001.mat,16+24,1000/mV,16,0,-127,0,0,ECG,
A00002,1,300,9000,2014-05-16,11:05:25,A00002.mat,16+24,1000/mV,16,0,128,0,0,ECG,
A00003,1,300,18000,2014-04-15,12:04:05,A00003.mat,16+24,1000/mV,16,0,56,0,0,ECG,
A00004,1,300,9000,2014-05-01,11:05:48,A00004.mat,16+24,1000/mV,16,0,519,0,0,ECG,
A00005,1,300,18000,2013-12-23,08:12:08,A00005.mat,16+24,1000/mV,16,0,-188,0,0,ECG,
A00006,1,300,9000,2014-03-23,04:03:20,A00006.mat,16+24,1000/mV,16,0,-266,0,0,ECG,
A00007,1,300,9000,2014-06-25,09:06:11,A00007.mat,16+24,1000/mV,16,0,21,0,0,ECG,
A00008,1,300,18000,2013-11-24,06:11:36,A00008.mat,16+24,1000/mV,16,0,-187,0,0,ECG,
A00009,1,300,9000,2014-05-09,09:05:52,A00009.mat,16+24,1000/mV,16,0,51,0,0,ECG,
A00010,1,300,18000,2014-02-28,08:02:58,A00010.mat,16+24,1000/mV,16,0,-1028,0,0,ECG,
A00011,1,300,9000,2014-04-15,03:04:41,A00011.mat,16+24,1000/mV,16,0,-69,0,0,ECG,
A00012,1,300,9000,2013-10-08,11:10:58,A00012.mat,16+24,1000/mV,16,0,72,0,0,ECG,
A00013,1,300,9000,2014-06-10,10:06:01,A00013.mat,16+24,1000/mV,16,0,3,0,0,ECG,
A00014,1,300,5570,2013-09-28,08:09:25,A00014.mat,16+24,1000/mV,16,0,-62,0,0,ECG,
A00015,1,300,6102,2013-11-20,04:11:29,A00015.mat,16+24,1000/mV,16,0,76,0,0,ECG,
A00016,1,300,9000,2013-03-26,12:03:38,A00016.mat,16+24,1000/mV,16,0,-81,0,0,ECG,
A00017,1,300,9000,2014-01-25,01:01:32,A00017.mat,16+24,1000/mV,16,0,275,0,0,ECG,
A00018,1,300,9000,2013-10-25,06:10:29,A00018.mat,16+24,1000/mV,16,0,-477,0,0,ECG,
A00019,1,300,11520,2013-07-17,06:07:37,A00019.mat,16+24,1000/mV,16,0,12,0,0,ECG,
A00020,1,300,9000,2014-04-16,12:04:16,A00020.mat,16+24,1000/mV,16,0,76,0,0,ECG,
A00021,1,300,9000,2014-05-26,05:05:00,A00021.mat,16+24,1000/mV,16,0,400,0,0,ECG,
